GPIO List														
04/22/2014														
														
Pin Name	Aux Func.0	Aux Func.1	Aux Func.2	Aux Func.3	Aux Func.4	Aux Func.5	Aux Func.6	Aux Func.7	PU/PD	PullEn	PullSel	Mode	Mode Register	EINT Num
														
PAD_EINT0	GPIO0	O:IRDA_PDN	O:I2S1_WS	O:AUD_SPDIF	O:UTXD0			B0:DBG_MON_A_20_	PU/PD	1	0	0	GPIO_MODE0	0
PAD_EINT1	GPIO1	I1:IRDA_RXD	O:I2S1_BCK	B1:SDA5	I1:URXD0			B0:DBG_MON_A_21_	PU/PD	1	0	0	--	1
PAD_EINT2	GPIO2	O:IRDA_TXD	O:I2S1_MCK	B1:SCL5	O:UTXD3			B0:DBG_MON_A_22_	PU/PD	1	0	0	--	2
PAD_EINT3	GPIO3	I0:DSI1_TE	O:I2S1_DO_1	B1:SDA3	I1:URXD3			B0:DBG_MON_A_23_	PU/PD	1	0	0	--	3
PAD_EINT4	GPIO4	O:DISP_PWM1	O:I2S1_DO_2	B1:SCL3	I1:UCTS3		B0:SFWP_B		PU/PD	1	0	0	--	4
PAD_EINT5	GPIO5	B0:PCM1_CLK	O:I2S2_WS	O:SPI_CK_3_	O:URTS3	I1:AP_MD32_JTAG_TMS	B0:SFOUT		PU/PD	1	0	0	GPIO_MODE1	5
PAD_EINT6	GPIO6	B0:PCM1_SYNC	O:I2S2_BCK	I0:SPI_MI_3_		I0:AP_MD32_JTAG_TCK	O:SFCS0		PU/PD	1	1	0	--	6
PAD_EINT7	GPIO7	I0:PCM1_DI	I0:I2S2_DI_1	O:SPI_MO_3_		I1:AP_MD32_JTAG_TDI	B0:SFHOLD		PU/PD	1	0	0	--	7
PAD_EINT8	GPIO8	O:PCM1_DO	I0:I2S2_DI_2	O:SPI_CS_3_	O:AUD_SPDIF	O:AP_MD32_JTAG_TDO	B0:SFIN		PU/PD	1	0	0	--	8
PAD_EINT9	GPIO9	O:USB_DRVVBUS_P0	O:I2S2_MCK		O:USB_DRVVBUS_P1	I1:AP_MD32_JTAG_TRST	O:SFCK		PU/PD	1	0	0	--	9
PAD_EINT10	GPIO10	O:CLKM0	I0:DSI1_TE	O:DISP_PWM1	O:PWM4	I1:IRDA_RXD			PU/PD	1	0	0	GPIO_MODE2	10
PAD_EINT11	GPIO11	O:CLKM1	O:I2S3_WS	O:USB_DRVVBUS_P0	O:PWM5	O:IRDA_TXD	O:USB_DRVVBUS_P1	B0:DBG_MON_B_30_	PU/PD	1	0	0	--	11
PAD_EINT12	GPIO12	O:CLKM2	O:I2S3_BCK	O:SRCLKENA0		O:I2S2_WS		B0:DBG_MON_B_32_	PU/PD	1	0	0	--	12
PAD_EINT13	GPIO13	O:CLKM3	O:I2S3_MCK	O:SRCLKENA0		O:I2S2_BCK		B0:DBG_MON_A_32_	PU/PD	1	0	0	--	13
PAD_EINT14	GPIO14	I0:CMDAT0	I0:CMCSD0		O:CLKM2			B0:DBG_MON_B_6_	PU/PD	1	0	0	--	14
PAD_EINT15	GPIO15	I0:CMDAT1	I0:CMCSD1	O:CMFLASH	O:CLKM3			B0:DBG_MON_B_29_	PU/PD	1	0	0	GPIO_MODE3	15
PAD_IDDIG	GPIO16	I0:IDDIG	O:CMFLASH		O:PWM5				PU/PD	1	1	1	--	16
PAD_WATCHDOG	GPIO17	O:WATCHDOG_AO							PU/PD	1	0	1	--	17
PAD_CEC	GPIO18	B0:CEC							PU/PD	1	1	1	--	18
PAD_HDMISCK	GPIO19	B0:HDMISCK	B1:HDCP_SCL						PU/PD	1	1	1	--	19
PAD_HDMISD	GPIO20	B0:HDMISD	B1:HDCP_SDA						PU/PD	1	1	1	GPIO_MODE4	20
PAD_HTPLG	GPIO21	I0:HTPLG							PU/PD	1	1	1	--	21
PAD_MSDC3_DAT0	GPIO22	B0:MSDC3_DAT0							PU/PD	1	1	1	--	22
PAD_MSDC3_DAT1	GPIO23	B0:MSDC3_DAT1							PU/PD	1	1	1	--	23
PAD_MSDC3_DAT2	GPIO24	B0:MSDC3_DAT2							PU/PD	1	1	1	--	24
PAD_MSDC3_DAT3	GPIO25	B0:MSDC3_DAT3							PU/PD	1	1	1	GPIO_MODE5	25
PAD_MSDC3_CLK	GPIO26	O:MSDC3_CLK							PU/PD	1	0	1	--	26
PAD_MSDC3_CMD	GPIO27	B0:MSDC3_CMD							PU/PD	1	1	1	--	27
PAD_MSDC3_DSL	GPIO28	I0:MSDC3_DSL							PU/PD	1	0	1	--	28
PAD_UCTS2	GPIO29	I1:UCTS2							PU/PD	1	0	1	--	29
PAD_URTS2	GPIO30	O:URTS2							PU/PD	1	0	1	GPIO_MODE6	30
PAD_URXD2	GPIO31	I1:URXD2	O:UTXD2						PU/PD	1	0	1	--	31
PAD_UTXD2	GPIO32	O:UTXD2	I1:URXD2						PU/PD	1	0	1	--	32
PAD_DAICLK	GPIO33	O: MRG_CLK	O:PCM0_CLK						PU/PD	1	0	1	--	33
PAD_DAIPCMIN	GPIO34	I: MRG_DI	I0:PCM0_DI						PU/PD	1	0	1	--	34
PAD_DAIPCMOUT	GPIO35	O: MRG_DO	O:PCM0_DO						PU/PD	1	0	1	GPIO_MODE7	35
PAD_DAISYNC	GPIO36	O: MRG_SYNC	O:PCM0_SYNC						PU/PD	1	0	1	--	36
